Date,Close
01-02-2016,434.14
01-03-2016,435.26
01-04-2016,435.25
01-05-2016,432.11
01-06-2016,457.54
01-07-2016,462.92
01-08-2016,454.55
01-09-2016,448.88
01-10-2016,451.08
01-11-2016,448.41
01-12-2016,443.72
01-13-2016,433.74
01-14-2016,430.15
01-15-2016,386.72
01-16-2016,390.72
01-17-2016,387.29
01-18-2016,386.69
01-19-2016,425.72
01-20-2016,423.42
01-21-2016,411.49
01-22-2016,395.43
01-23-2016,405.4
01-24-2016,403.78
01-25-2016,397.74
01-26-2016,397.37
01-27-2016,395.42
01-28-2016,385.75
01-29-2016,381.75
01-30-2016,380.54
01-31-2016,379.78
02-01-2016,376.63
02-02-2016,375.89
02-03-2016,391.83
02-04-2016,391.15
02-05-2016,386.35
02-06-2016,382.61
02-07-2016,380.92
02-08-2016,377.59
02-09-2016,385.38
02-10-2016,383.23
02-11-2016,386.4
02-12-2016,392.57
02-13-2016,405.93
02-14-2016,410.85
02-15-2016,409.75
02-16-2016,421.45
02-17-2016,425.51
02-18-2016,424.26
02-19-2016,442.66
02-20-2016,447.61
02-21-2016,440.18
02-22-2016,440.76
02-23-2016,425.17
02-24-2016,427.18
02-25-2016,427.58
02-26-2016,434.14
02-27-2016,435.62
02-28-2016,441.32
02-29-2016,439.02
03-01-2016,435.91
03-02-2016,425.83
03-03-2016,423.39
03-04-2016,410.06
03-05-2016,412.02
03-06-2016,416.58
03-07-2016,416.72
03-08-2016,414.88
03-09-2016,417.48
03-10-2016,422.4
03-11-2016,420.67
03-12-2016,415.93
03-13-2016,416.08
03-14-2016,417.37
03-15-2016,416.95
03-16-2016,419.56
03-17-2016,418.58
03-18-2016,410.49
03-19-2016,413.45
03-20-2016,413.09
03-21-2016,417.94
03-22-2016,419.58
03-23-2016,417.68
03-24-2016,417.3
03-25-2016,417.71
03-26-2016,427.36
03-27-2016,425.36
03-28-2016,424.53
03-29-2016,416.22
03-30-2016,417.16
03-31-2016,416.86
04-01-2016,420.09
04-02-2016,420.18
04-03-2016,420.39
04-04-2016,423.67
04-05-2016,422.81
04-06-2016,422.03
04-07-2016,423.51
04-08-2016,418.85
04-09-2016,421.63
04-10-2016,422.35
04-11-2016,426.69
04-12-2016,426.58
04-13-2016,425.44
04-14-2016,429.49
04-15-2016,432
04-16-2016,430.62
04-17-2016,429.07
04-18-2016,436.07
04-19-2016,442.86
04-20-2016,450.8
04-21-2016,450.19
04-22-2016,451.48
04-23-2016,461.78
04-24-2016,466.23
04-25-2016,468.86
04-26-2016,467.87
04-27-2016,450.1
04-28-2016,456.31
04-29-2016,456.86
